"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\.eslintrc.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\package-lock.json", "JSON", 0, 0, 4057, 0, 0, 0, 0, 1, 4058
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\Auth\animations.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 8, 71
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\Auth\cstomstyles.jsx", "JavaScript JSX", 0, 0, 0, 0, 165, 0, 0, 11, 176
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\Chatpage\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 9, 71
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\Chatpage\RequestBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 10, 56
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\Chatpage\customstyles.jsx", "JavaScript JSX", 0, 0, 0, 0, 138, 0, 0, 14, 152
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\landingpage\Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 5, 46
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\landingpage\animations.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\components\landingpage\customstyles.jsx", "JavaScript JSX", 0, 0, 0, 0, 116, 0, 0, 10, 126
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\context\SocketProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 17, 73
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 59, 0, 8, 67
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\pages\Authbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 82, 0, 0, 39, 121
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\pages\Chatpage.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 1, 33, 149
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 2, 34, 182
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\src\utils\Reconnection.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\rohit\OneDrive\Documents\web project\chat-app\chat-app\client\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 25, 5, 4087, 13, 1079, 59, 4, 216, 5488
